,Date,open,high,low,close,vol tick
466,2018.10.18,147677,147754,145798,146026,135666
467,2018.10.19,146011,147316,145984,147026,131360
468,2018.10.22,147007,147563,146028,146181,120465
469,2018.10.23,146199,146388,145273,145959,153912
470,2018.10.24,145955,146287,144416,144560,162223
471,2018.10.25,144556,145022,144011,144058,159143
472,2018.10.26,144034,144159,142756,143493,191557
473,2018.10.29,143485,144387,143323,143783,146024
474,2018.10.30,143783,144375,143198,143693,146132
475,2018.10.31,143693,145117,143601,144201,125675
476,2018.11.01,144201,146877,144008,146357,133648
477,2018.11.02,146357,147240,146270,146759,138801
478,2018.11.05,147340,147790,146837,147603,98226
479,2018.11.06,147546,148697,147285,148568,106234
480,2018.11.07,148523,149214,148315,148945,148974
481,2018.11.08,148991,149470,148589,148966,123401
482,2018.11.09,148962,149034,147481,147642,116688
483,2018.11.12,146981,147562,146051,146244,136569
484,2018.11.13,146244,148714,145976,147569,153656
485,2018.11.14,147573,148414,146302,147552,163888
486,2018.11.15,147574,147909,144232,145108,178695
487,2018.11.16,145085,145432,144580,144662,132111
488,2018.11.19,144663,145300,144275,144623,108944
489,2018.11.20,144607,144898,144001,144162,122696
490,2018.11.21,144148,144875,144004,144425,102658
491,2018.11.22,144446,145937,144244,145396,93925
492,2018.11.23,145391,145510,144332,144543,94363
493,2018.11.26,144772,145723,144623,145458,118511
494,2018.11.27,145479,145516,144579,144973,133881
495,2018.11.28,144962,145823,144843,145761,115104
496,2018.11.29,145764,145785,144495,145078,117056
497,2018.11.30,145078,145273,144605,144641,108284
498,2018.12.03,144762,145496,144160,144590,112633
499,2018.12.04,144592,144748,142825,143438,145212
500,2018.12.05,143385,144519,143247,144111,96836
501,2018.12.06,144101,144148,143234,143990,163553
502,2018.12.07,143992,144203,143215,143446,132841
503,2018.12.10,143031,143691,141156,142377,155098
504,2018.12.11,142300,142916,141497,141534,139311
505,2018.12.12,141585,143430,141495,143025,155588
506,2018.12.13,142996,143916,142762,143745,118980
507,2018.12.14,143784,143837,142359,142709,121313
508,2018.12.17,142795,143221,142140,142355,130859
509,2018.12.18,142355,142639,141915,142181,128251
510,2018.12.19,142210,142519,141564,141815,151281
511,2018.12.20,141815,142090,140557,140821,176207
512,2018.12.21,140865,141147,140220,140505,163703
513,2018.12.24,140220,140833,139967,140170,113119
514,2018.12.26,140289,140854,139726,140658,70263
515,2018.12.27,140663,140798,139706,140288,183794
516,2018.12.28,140340,140352,139476,139980,115759
517,2018.12.31,139948,140859,139506,139704,85948
518,2019.01.02,139312,139479,137238,137238,130711
519,2019.01.03,137298,137298,131707,135949,194538
520,2019.01.04,136008,138284,135784,138044,168590
521,2019.01.07,137936,138926,137593,138868,124482
522,2019.01.08,138849,139418,137957,138231,118501
523,2019.01.09,138229,139095,137752,138300,141693
524,2019.01.10,138303,138521,137438,138219,103098
525,2019.01.11,138210,139466,137618,139297,129450
526,2019.01.14,139403,140036,138583,139085,114520
527,2019.01.15,139148,140411,137342,139699,147144
528,2019.01.16,139757,140684,138967,140474,109961
529,2019.01.17,140466,142196,139493,141843,116810
530,2019.01.18,141840,142064,141069,141310,100665
531,2019.01.21,141149,141513,140665,141343,90316
532,2019.01.22,141343,141914,140605,141642,100047
533,2019.01.23,141680,143540,141591,143201,102904
534,2019.01.24,143228,143531,142688,143184,108303
535,2019.01.25,143188,144821,143064,144560,112646
536,2019.01.28,144382,144700,143582,143825,92189
537,2019.01.29,143814,144472,142715,142904,119237
538,2019.01.30,142887,143581,142713,142975,108000
539,2019.01.31,142986,143194,142223,142680,98890
540,2019.02.01,142692,143476,142055,143212,92852
541,2019.02.04,143009,144153,143009,143224,94079
542,2019.02.05,143261,143536,142019,142372,75423
543,2019.02.06,142388,142496,141737,142147,77168
544,2019.02.07,142163,142608,141107,142189,97583
545,2019.02.08,142209,142501,141829,142008,69979
546,2019.02.11,141758,142539,141758,141883,85207
547,2019.02.12,141941,142616,141801,142380,83002
548,2019.02.13,142382,143315,142341,142561,79361
549,2019.02.14,142567,143012,141272,141353,99172
550,2019.02.15,141386,142385,140989,142309,99676
551,2019.02.18,142471,143003,142384,142879,90312
552,2019.02.19,142906,144683,142459,144466,93315
553,2019.02.20,144464,145026,144106,144630,98935
554,2019.02.21,144644,144908,144063,144309,122019
555,2019.02.22,144297,144730,143763,144450,102587
556,2019.02.25,144585,145653,144320,145415,118645
557,2019.02.26,145425,147044,145384,146497,133930
558,2019.02.27,146497,148027,146145,147673,121932
559,2019.02.28,147702,148250,146964,147690,117415
560,2019.03.01,147692,148554,147498,147802,113332
561,2019.03.04,148132,148292,147085,147227,120927
562,2019.03.05,147276,147769,146587,147416,117106
